AREA|CODE
Amite, LA|17291
Amity Gardens, PA|5653
Amity Township, PA|3066
Amity, AR|7444
Amity, ME|21501
Amity, NY|7763
Amity, OR|8258
Amityville, NY|1314
Ammon, ID|13316
Amorita, OK|21874
Amory, MS|13977
Amsterdam, OH|7680
Amwell Township, PA|5292
Anacoco, LA|17326
Anaconda, MT|13474
Anacortes, WA|1814
Anadarko, OK|3312
Anaheim, CA|38
Anahuac, TX|14169
Anamosa, IA|14071
Anatone, WA|18790
Anchor Point, AK|14491
Anchor, IL|23157
Anchorage, AK|11747
Anchorage, KY|15463
Ancient Oaks, PA|4693
Ancona, IL|21505
Ancram, NY|7800
Andale, KS|16663
Andalusia, AL|5238
Andalusia, IL|17263
Anderson Mill, TX|15580
Anderson, AL|16762
Anderson, CA|1996
Anderson, IN|12062
Anderson, SC|258
Andersonville, GA|19483
Andersonville, TN|7311
Andover Township, NJ|3574
Andover, CT|5869
Andover, IA|23158
Andover, IL|22358
Andover, KS|12802
Andover, ME|24153
Andover, MN|999
Andover, NH|16240
Andover, OH|5071
Andover, VT|9874
Andrew, IA|23360
Andrews AFB, MD|17595
Andrews, FL|22000
Andrews, IN|16772
Andrews, NC|5234
Andrews, SC|3968
Andrews, TX|13730
Angel Fire, NM|13389
Angels, CA|11726
Angelus Oaks, CA|10976
Angier, NC|2638
Angle Inlet, MN|22718
Angleton, TX|12728
Angola on the Lake, NY|8407
Angola, IN|12722
Angola, NY|7252
Angora, MN|10599
Angora, NE|23361
Angus, MN|21274
Angwin, CA|17628
Anita, IA|18913
Aniwa, WI|10992
Ankeny, IA|784
Anmoore, WV|21670
Ann Arbor, MI|11831
Anna Maria, FL|14524
Anna, IL|14749
Anna, OH|5567
Anna, TX|2795
Annandale, MN|4091
Annandale, VA|498
Annapolis Junction, MD|18116
Annapolis, CA|10951
Annapolis, IL|22624
Annapolis, MD|243
Annawan, IL|16641
Annetta North, TX|8611
Annetta South, TX|9779
Annetta, TX|9143
Annin Township, PA|19079
Anniston, AL|1819
Annsville, NY|5962
Annville, KY|18048
Annville, PA|4737
Anoka, MN|1941
Anselmo, NE|20717
Ansley, NE|23159
Anson, TX|24450
Ansonia, CT|1652
Ansonia, OH|8273
Ansonville, NC|11118
Ansted, WV|19567
Anthem, AZ|871
Anthon, IA|19595
Anthony Township, PA|9025
Anthony, FL|16343
Anthony, KS|24574
Anthony, NM|13734
Anthony, PA|18305
Anthony, TX|24430
Anthonyville, AR|23858
Antigo, WI|2577
Antioch, CA|238
Antioch, IL|12509
Antis, PA|17071
Antlers, OK|5874
Antoine, AR|23760
Anton, TX|16409
Antonito, CO|14282
Antrim Township, PA|2049
Antwerp, OH|5757
Anza, CA|6350
Apache Junction, AZ|667
Apache, OK|15219
Apalachicola, FL|14381
Apalachin, NY|15439
Apex, NC|651
Aplington, IA|19113
Apolacon Township, PA|19467
Apollo Beach, FL|12958
Apollo, PA|7603
Apopka, FL|11893
Appalachia, VA|5964
Apple Creek, OH|3865
Apple Grove, WV|19328
Apple River, IL|14930
Apple Valley, CA|374
Apple Valley, MN|597
Applegate, CA|9315
Appleton, ME|18317
Appleton, MN|19372
Appleton, WA|23457
Appleton, WI|429
Applewold, PA|22605
Applewood, CO|4783
Appling, GA|14001
Appomattox, VA|14604
Aptos, CA|1326
Aquilla, OH|11103
Aquilla, TX|24412
Aquinnah, MA|10026
Arab, AL|2417
Arabi, GA|19381
Arabi, LA|17083
Aragon, GA|16182
Aransas Pass, TX|13021
Arapaho, OK|16859
Arapahoe, CO|23362
Arapahoe, NC|21989
Arapahoe, NE|18712
Ararat Township, PA|19929
Ararat, NC|18735
Ararat, VA|6650
Arbuckle, CA|5539
Arcade, GA|22407
Arcade, NY|8751
Arcadia, CA|446
Arcadia, FL|12186
Arcadia, IA|19444
Arcadia, IN|7585
Arcadia, LA|17327
Arcadia, MI|20795
Arcadia, NE|20293
Arcadia, NY|3716
Arcadia, OH|10800
Arcadia, OK|10783
Arcadia, WI|6588
Arcanum, OH|10312
Arcata, CA|1717
Arch Cape, OR|9631
Archbald, PA|3697
Archbold, OH|3650
Archdale, NC|13521
Archer, FL|14167
Archer, IA|21267
Archer, NE|22299
Archie, MO|16577
Arco, MN|21552
Arcola, IL|17498
Arcola, TX|17359
Arden Hills, MN|2962
Arden, DE|19930
Arden, NC|1585
Arden-Arcade, CA|302
Ardencroft, DE|10408
Ardentown, DE|20577
Ardmore, AL|4499
Ardmore, OK|1514
Ardmore, PA|2390
Ardmore, TN|15350
Ardsley, NY|4855
Aredale, IA|23761
Arena, WI|11334
Arenzville, IL|20451
Argenta, IL|17736
Argentine, MI|17125
Argillite, KY|9192
Argo, AL|8913
Argonne, WI|14938
Argos, IN|5981
Argusville, ND|24090
Argyle, GA|22858
Argyle, IA|19865
Argyle, MN|20965
Argyle, TX|5704
Argyle, WI|21040
Ariel, WA|10808
Arietta, NY|21851
Arion, IA|21831
Aristes, PA|23249
Ariton, AL|6961
Arivaca, AZ|10541
Arkadelphia, AR|3532
Arkansas City, AR|20979
Arkansaw, WI|18684
Arkdale, WI|8648
Arkoma, OK|8607
Arkport, NY|10830
Arkwright, NY|18992
Arlee, MT|24582
Arley, AL|6628
Arlington Heights, IL|11917
Arlington Heights, OH|9206
Arlington Heights, PA|4073
Arlington, AL|21591
Arlington, AZ|9758
Arlington, GA|17979
Arlington, IA|19188
Arlington, IL|18330
Arlington, KS|19486
Arlington, KY|18522
Arlington, MA|705
Arlington, MN|17614
Arlington, NE|7278
Arlington, OH|6405
Arlington, OR|19207
Arlington, TN|2513
Arlington, TX|36
Arlington, VA|74
Arlington, WA|954
Arlington, WI|11046
Arma, KS|24600
Armada, MI|15149
Armagh Township, PA|6108
Armagh, PA|23562
Armenia Township, PA|9576
Armington, IL|19820
Armona, CA|10304
Armonk, NY|15746
Armour, SD|24044
Armstrong Creek, WI|20512
Armstrong Township, PA|10895
Armstrong, IA|18297
Armstrong, IL|20008
Armstrong, MO|24173
Armstrong, OK|23908
Armuchee, GA|17042
Arnett, OK|19272
Arnold, CA|8225
Arnold, MD|1580
Arnold, MN|7616
Arnold, MO|896
Arnold, NE|20538
Arnold, PA|4564
Arnolds Park, IA|15520
Arnoldsville, GA|16833
Aroda, VA|18636
Aroma Park, IL|22944
Aromas, CA|5889
Arona, PA|10758
Arpin, WI|6475
Arriba, CO|21509
Arrington, TN|9652
Arrington, VA|22056
Arrowsic, ME|20503
Arrowsmith, IL|23120
Arroyo Grande, CA|1176
Artesia, CA|1906
Artesia, NM|23941
Arthur, IA|20882
Arthur, IL|17680
Arthur, ND|24245
Arthur, NE|20828
Arundel, ME|5109
Arvada, CO|241
Arvin, CA|1654
Arvonia, VA|20909
Asbury Lake, FL|16391
Asbury Park, NJ|1962
Asbury, IA|8474
Ash Flat, AR|21100
Ash Fork, AZ|8461
Ash Grove, MO|16281
Ash, NC|4000
Asharoken, NY|19717
Ashaway, RI|10363
Ashburn, GA|17475
Ashburn, VA|305
Ashburnham, MA|5079
Ashby, MA|5822
Ashby, MN|20458
Ashby, NE|21382
Ashcamp, KY|20141
Ashdown, AR|15423
Asheboro, NC|12105
Asher, OK|9189
Asherton, TX|24626
Asheville, NC|368
Ashfield, MA|7501
Ashford, AL|9081
Ashford, CT|4964
Ashford, NY|7277
Ashford, WA|8879
Ashkum, IL|19598
Ashland City, TN|6101
Ashland Township, PA|18773
Ashland, AL|17664
Ashland, IL|8083
Ashland, KY|12563
Ashland, MA|1883
Ashland, MO|14386
Ashland, NE|6020
Ashland, NH|15762
Ashland, NY|9167
Ashland, OH|12823
Ashland, OR|1317
Ashland, PA|6136
Ashland, VA|2077
Ashland, WI|2716
Ashley, IL|18507
Ashley, MI|18462
Ashley, OH|5683
Ashley, PA|6255
Ashmore, IL|17235
Ashtabula, OH|2216
Ashton, IA|19639
Ashton, IL|20032
Ashton, MD|8915
Ashton, NE|21198
Ashton, WV|20007
Ashville, AL|5365
Ashville, OH|4127
Ashville, PA|23363
Ashwaubenon, WI|1978
Askewville, NC|22792
Askov, MN|11219
Asotin, WA|19144
Aspen, CO|2828
Aspers, PA|21931
Aspinwall, PA|6273
Assaria, KS|23563
Assumption, IL|18271
Astatula, FL|16296
Aston, PA|2793
Astor, FL|15386
Astoria, IL|18068
Astoria, OR|1986
Asylum, PA|18839
Atalissa, IA|18880
Atascadero, CA|1034
Atascocita, TX|12030
Atascosa, TX|15889
Atchison, KS|13685
Atglen, PA|8033
Athalia, OH|11143
Athelstane, WI|9157
Athena, OR|10340
Athens Township, PA|3214
Athens, AL|12183
Athens, GA|11828
Athens, IL|15704
Athens, MI|17245
Athens, OH|1007
Athens, TN|12588
Athens, TX|12641
Athens, VT|20080
Athens, WI|5422
Atherton, CA|3688
Athol, ID|13907
Atkins, AR|6299
Atkins, IA|23733
Atkins, VA|18996
Atkinson, IL|16683
Atkinson, NC|8134
Atkinson, NE|17971
Atkinson, NH|15304
Atlanta, GA|11739
Atlanta, IL|18453
Atlanta, IN|16222
Atlanta, MI|13296
Atlanta, NE|23762
Atlanta, TX|13839
Atlantic Beach, FL|13169
Atlantic Beach, NC|8476
Atlantic Beach, NY|8521
Atlantic Beach, SC|10491
Atlantic City, NJ|1185
Atlantic Highlands, NJ|5097
Atlantic Mine, MI|18550
Atlantic, IA|3360
Atlantic, NC|9984
Atlantic, VA|20569
Atlantis, FL|14347
Atmore, AL|1901
Atoka, OK|7506
Atoka, TN|2850
Attalla, AL|2898
Attapulgus, GA|18490
Attica, IN|16005
Attica, MI|15732
Attica, OH|6849
Attleboro, MA|697
Atwater, CA|972
Atwater, MN|17108
Atwater, OH|4419
Atwood, CO|9838
Atwood, IL|18873
Atwood, OK|21061
Atwood, PA|22025
Atwood, TN|16631
Au Gres, MI|13333
Au Sable Forks, NY|10355
Au Sable Township, MI|14919
Au Sable, NY|6198
Au Train, MI|19791
Auberry, CA|8553
Aubrey, AR|23048
Aubrey, TX|9443
Auburn Hills, MI|13612
Auburn Township, PA|18206
Auburn, AL|857
Auburn, CA|744
Auburn, GA|12899
Auburn, IA|23049
Auburn, IL|15723
Auburn, IN|12549
Auburn, KS|16568
Auburn, KY|17667
Auburn, MA|1943
Auburn, ME|1386
Auburn, MI|14757
Auburn, NE|15225
Auburn, NH|15169
Auburn, NY|1140
Auburn, PA|9409
Auburn, WA|423
Auburndale, FL|12357
Auburndale, WI|8500
Auburntown, TN|9688
Audubon Park, KY|16488
Audubon Park, NJ|18857
Audubon, IA|22276
Audubon, MN|7490
Audubon, NJ|3139
Audubon, PA|3467
August, CA|4342
Augusta Township, MI|15615
Augusta, AR|20426
Augusta, GA|11763
Augusta, KS|14640
Augusta, KY|17834
Augusta, ME|12548
Augusta, MI|16981
Augusta, MO|9136
Augusta, MT|24177
Augusta, NY|7288
Augusta, WI|4975
Augusta, WV|14249
Aulander, NC|17923
Ault, CO|9706
Aumsville, OR|7405
Aurelia, IA|18252
Aurelius, NY|7002
Aurora, CO|40
Aurora, IA|22209
Aurora, IL|11778
Aurora, IN|6043
Aurora, ME|21659
Aurora, MN|6404
Aurora, MO|12977
Aurora, NC|17725
Aurora, NE|8409
Aurora, NY|15562
Aurora, OH|2011
Aurora, OR|6298
Aurora, TX|20889
Aurora, WV|21121
Austell, GA|12174
Austerlitz, NY|7945
Austin, AR|4519
Austin, IN|15902
Austin, KY|23630
Austin, MN|1562
Austin, PA|22253
Austin, TX|11734
Austinburg, OH|10650
Austintown, OH|1338
Austinville, VA|8713
Autaugaville, AL|16617
Autryville, NC|8576
Auxier, KY|20000
Auxvasse, MO|24561
Ava, IL|17955
Ava, MO|13493
Ava, NY|9290
Avalon, CA|5579
Avalon, GA|21306
Avalon, NJ|8358
Avalon, PA|4720
Avenal, CA|2842
Avenel, NJ|15038
Aventura, FL|12214
Avenue, MD|10438
Avera, GA|19384
Averill Park, NY|4399
Avery, CA|10107
Avila Beach, CA|10846
Avilla, IN|15979
Avinger, TX|16830
Avis, PA|18096
Aviston, IL|18143
Avoca, IA|17152
Avoca, MI|16023
Avoca, MN|23735
Avoca, NE|20381
Avoca, PA|6676
Avoca, WI|10453
Avocado Heights, CA|2733
Avon Lake, OH|1583
Avon Park, FL|12443
Avon by the Sea, NJ|7509
Avon, AL|9835
Avon, CO|5295
Avon, CT|2008
Avon, IL|19629
Avon, IN|12502
Avon, MA|4779
Avon, ME|24148
Avon, MN|5027
Avon, NC|13583
Avon, OH|1497
Avon, PA|6124
Avondale Estates, GA|14464
Avondale, AZ|400
Avondale, CO|9745
Avondale, PA|4939
Avonia, PA|24142
Avonmore, PA|10433
Awendaw, SC|6893
Axis, AL|7720
Axson, GA|19550
Axtell, NE|23526
Axton, VA|7053
Ayden, NC|7752
Aydlett, NC|20531
Aylett, VA|4204
Aynor, SC|5637
Ayr Township, PA|18011
Ayr, NE|20421
Ayrshire, IA|21511
Azalea, OR|18727
Azle, TX|4088
Aztec, NM|12633
Azusa, CA|522
Babbie, AL|20484
Babbitt, MN|7689
Babcock, WI|22984
Babson Park, FL|22135
Babylon, NY|2470
Back Mountain, PA|2006
Backus, MN|14851
Bacliff, TX|13985
Baconton, GA|17668
Bacova, VA|23238
Bad Axe, MI|14724
Baden, PA|15230
Badger, CA|10621
Badger, IA|19878
Badin, NC|10523
Bagdad, AZ|11601
Bagdad, KY|21543
Bagley, IA|19282
Bagley, MN|17569
Bagley, WI|19153
Bahama, NC|15186
Baidland, PA|9479
Bailey Island, ME|22562
Bailey Lakes, OH|22540
Bailey, CO|5368
Bailey, MI|23364
Bailey, NC|16353
Baileys Harbor, WI|9552
Baileyton, AL|19478
Baileyville, IL|21094
Baileyville, ME|18485
Bainbridge Island, WA|1703
Bainbridge, GA|13411
Bainbridge, IN|16740
Bainbridge, OH|4495
Baird, TX|16492
Bairdstown, OH|11246
Baker City, OR|4607
Baker, CA|22192
Baker, FL|15362
Baker, LA|15853
Baker, WV|15454
Bakerhill, AL|22235
Bakersfield, CA|45
Bakersfield, VT|19838
Bakersville, NC|13032
Bal Harbour, FL|13288
Balaton, MN|21111
Balch Springs, TX|1313
Bald Eagle Township, PA|16297
Bald Head Island, NC|11171
Bald Knob, AR|3772
Baldwin City, KS|15117
Baldwin Park, CA|349
Baldwin Township, PA|1469
Baldwin, FL|16852
Baldwin, GA|16853
Baldwin, IA|21620
Baldwin, IL|23250
Baldwin, LA|24706
Baldwin, MD|6981
Baldwin, ME|18278
Baldwin, MI|14849
Baldwin, NY|1048
Baldwin, WI|4085
Baldwinsville, NY|4383
Baldwinville, MA|7924
Baldwyn, MS|15138
Balfour, NC|24053
Balko, OK|20278
Ball Ground, GA|15528
Ball, LA|17414
Ballico, CA|8715
Ballinger, TX|15974
Ballston Spa, NY|4365
Ballston, NY|3161
Balltown, IA|23873
Ballwin, MO|1025
Bally, PA|8221
Balsam Grove, NC|9754
Balsam Lake, WI|14965
Balsam, NC|11266
Baltic, OH|8720
Baltic, SD|24632
Baltimore, MD|16
Baltimore, OH|5248
Baltimore, VT|21099
Bamberg, SC|16277
Banco, VA|19637
Bancroft, IA|18815
Bancroft, KY|21031
Bancroft, MI|17121
Bancroft, NE|23122
Bancroft, WI|18153
Bandana, KY|22272
Bandera, TX|13235
Bandon, OR|5542
Baneberry, TN|9803
Bangor Township, MI|14644
Bangor, CA|10090
Bangor, ME|944
Bangor, MI|15678
Bangor, NY|6259
Bangor, PA|4445
Bangor, WI|17143
Bangs, TX|16475
Banks Township, PA|20524
Banks, AL|22558
Banks, AR|23564
Banks, OR|5563
Bankston, AL|22006
Banner Elk, NC|7646
Banner, IL|23565
Banner, KY|18513
Banning, CA|1047
Bannister, MI|20672
Bannockburn, IL|20685
Bantam, CT|10528
Bar Harbor, ME|5650
Bar Nunn, WY|17032
Baraboo, WI|5799
Baraga, MI|17682
Barataria, LA|17257
Barbeau, MI|23527
Barberton, OH|1232
Barberton, WA|4359
Barbourmeade, KY|15543
Barboursville, VA|6182
Barboursville, WV|13458
Barbourville, KY|17453
Barclay, MD|9566
Barco, NC|19256
Bardolph, IL|23147
Bardstown, KY|1377
Bardwell, KY|21314
Bardwell, TX|11472
Bargersville, IN|13535
Barhamsville, VA|17938
Baring, WA|11602
Bark River, MI|18811
Barker Heights, NC|11699
Barker Ten Mile, NC|19389
Barker, NY|6223
Barkeyville, PA|21428
Barkhamsted, CT|6184
Barling, AR|5036
Barlow, KY|22073
Barlow, OR|11655
Barnard, VT|19118
Barnardsville, NC|8981
Barnegat Light, NJ|10755
Barnegat Township, NJ|1623
Barnes City, IA|21333
Barneston, NE|23160
Barnesville, GA|14336
Barnesville, MD|10821
Barnesville, MN|5431
Barnesville, OH|4340
Barnet, VT|7468
Barnett Township, PA|19126
Barnett, MO|24759
Barneveld, NY|15567
Barneveld, WI|23661
Barney, GA|21003
Barnhart, MO|3452
Barnhill, OH|10890
Barnsdall, OK|19648
Barnstable, MA|8952
Barnstead, NH|14085
Barnum, IA|20360
Barnum, MN|18451
Barnwell, SC|7568
Baroda, MI|21976
Barr Township, PA|17950
Barrackville, WV|23050
Barre, NY|6547
Barre, VT|2787
Barree Township, PA|20338
Barren Springs, VA|11520
Barrett Township, PA|6501
Barrett, MN|20210
Barrington Hills, IL|12925
Barrington, IL|13200
Barrington, NH|13466
Barrington, NJ|3761
Barrington, NY|7541
Barrington, RI|2231
Barron, WI|17500
Barronett, WI|20392
Barry, IL|21411
Barry, MN|21253
Barry, PA|19186
Barry, TX|24099
Barryton, MI|14943
Barstow, CA|938
Bart, PA|5897
Bartelso, IL|18378
Bartlesville, OK|790
Bartlett, IL|12343
Bartlett, NE|20687
Bartlett, NH|13543
Bartlett, TN|595
Bartlett, TX|24455
Bartley, NE|22672
Barton City, MI|20345
Barton, MD|10473
Barton, NY|4829
Barton, WI|4574
Bartonville, IL|13974
Bartonville, TX|8395
Bartow, FL|12364
Bartow, GA|22844
